"ResultFile","ResultRoot","LegacyMakespan","FinishedTasks","TaskMetricFile","TaskRows","UnfinishedTasks","ActualMakespan","AllTasksCompleted","DeltaActualMinusLegacy","PlannerErrors","ScheduleErrors","EntryTimeouts","AuditStatus"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r0p75\seed_1.json","w10_r0p75","301","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r0p75\seed_1.task_metrics.csv","500","0","312","True","11","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r0p75\seed_2.json","w10_r0p75","292","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r0p75\seed_2.task_metrics.csv","500","0","312","True","20","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r1p0\seed_0.json","w10_r1p0","299","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r1p0\seed_0.task_metrics.csv","500","0","302","True","3","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r1p0\seed_1.json","w10_r1p0","298","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r1p0\seed_1.task_metrics.csv","500","0","304","True","6","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r1p0\seed_2.json","w10_r1p0","291","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r1p0\seed_2.task_metrics.csv","500","0","303","True","12","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r0p5\seed_0.json","w15_r0p5","300","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r0p5\seed_0.task_metrics.csv","500","0","320","True","20","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r0p5\seed_1.json","w15_r0p5","311","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r0p5\seed_1.task_metrics.csv","500","0","324","True","13","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r0p5\seed_2.json","w15_r0p5","293","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r0p5\seed_2.task_metrics.csv","500","0","316","True","23","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r0p75\seed_0.json","w15_r0p75","294","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r0p75\seed_0.task_metrics.csv","500","0","309","True","15","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r0p75\seed_1.json","w15_r0p75","291","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r0p75\seed_1.task_metrics.csv","500","0","304","True","13","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r0p75\seed_2.json","w15_r0p75","293","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r0p75\seed_2.task_metrics.csv","500","0","307","True","14","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r1p0\seed_0.json","w15_r1p0","310","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r1p0\seed_0.task_metrics.csv","500","0","317","True","7","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r1p0\seed_1.json","w15_r1p0","297","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w15_r1p0\seed_1.task_metrics.csv","500","0","307","True","10","0","0","0","valid"
